ACC_ID	PDB_Structures
P42858	6ez8_A,8w15_A,6yej_A,6x9o_A
Q9D9M4	1wif_A
Q9ERI2	3bc1_A,3bc1_E
Q9QZS3	1wj1_A,5yqg_E
Q14108	4tw2_A,5xbm_C,5uph_B,4tw0_B,4tw0_D,4tw0_C,4q4b_A,4f7b_E,4tw2_B,4f7b_D,4f7b_B,4tw0_A,4tvz_A,4f7b_F,4tvz_B,5xbm_F,6i2k_E,4f7b_C,4f7b_A,4q4f_A
O43865	3mtg_B,3mtg_A
Q9UQB9	6gr9_A,6gr8_A
P09803	3q2n_A,1suh_A,3lni_B,3qrb_B,2qvf_B,3qrb_A,3lnh_B,4qd2_E,3lne_A,3lnf_B,1edh_B,3lnf_A,2omw_B,3lng_B,1ff5_A,3lnh_A,1edh_A,1q1p_A,4qd2_J,1ff5_B,3q2n_B,3q2l_B,3lng_A,3q2l_A,3lni_A,3q2v_A,1i7w_B,3ifq_D,3ifq_C,1i7x_B
P28078	1k8i_A
Q5TCZ1	2ega_A,2dnu_A,2ekh_A,2egc_A
Q96NI6	5xwt_D,5xws_A,5xnp_A,5xwt_B,5xnp_B
O95405	1dev_B,1dev_D,1mk2_B,4bkw_A
P25886	7qgg_c
O60882	2jsd_A
P51948	8p6y_H,8wan_0,7b5q_H,8war_0,6xbz_H,7nvz_3,8p79_H,8p6x_H,8p6z_H,8was_0,8wak_0,8p6w_H,6nmi_H,6o9m_3,8p74_H,8wal_0,7nvx_3,7b5o_H,8p78_H,8waq_0,8plz_H,8p73_H,8p76_H,8p77_H,8bvw_7,8p71_H,8wap_0,7nw0_3,8gxs_HD,7enc_0,8pyr_G,8gxq_HD,8wao_0,6xd3_H,7nvw_3,8p6v_H,8pyr_C,7ena_0,8p70_H,8orm_H,6o9l_3,8p72_H,8p75_H,7nvy_3,8p7l_H,1g25_A,6tun_C,6tun_D
Q96MT7	8j07_i7
Q9DC70	8om1_B,6ztq_B,7ak6_B,7ak5_B,6g72_B,8pw7_6,8ca5_B,8ca3_B,8rgp_6,8rgr_6,6zr2_B,6g2j_B,7psa_B,8rgq_6,8c2s_B,8rgt_6,8olt_B,8pw5_6,7b93_B,8pw6_6
Q96P47	3ihw_A
P25098	5ukk_A,5uvc_A,6u7c_A,7pwd_A,3krw_A,4mk0_A,7k7l_A,5wg4_A,3cik_A,6c2y_A,3v5w_A,5wg3_A,7k7z_A,5ukl_A,5he1_A,5wg5_A,3krx_A,4pnk_A,1bak_A
Q9BX59	7rno_C,5wer_L,5wer_I
O14974	2kjy_A,5huz_B,5huz_A
Q9UGB7	2ibn_A,2ibn_B
P29375	5ivb_A,6dqf_A,6dqc_A,6bgy_A,5e6h_A,6bh3_A,6bh4_A,6bgx_A,6dq7_A,6bgu_A,5ivv_A,5isl_A,5iwf_A,5ivj_A,6dq9_A,5v9p_A,6bh0_A,6bh2_A,5ivc_A,5ivf_A,6dqe_A,6dqd_A,6dq5_A,6dq6_A,6bgv_A,5iw0_A,6bh5_A,5ivy_A,5ceh_A,5v9t_B,6bgw_A,6bh1_A,6dq4_A,6dqb_A,5ive_A,6dqa_A,6bgz_A,6dq8_A,2jxj_A,7klo_A,7klr_A,5c11_A,2kgg_A,2kgi_A,3gl6_A
P53816	7zom_A,4fa0_A,4dot_A,7c3z_A,2kyt_A
Q9CSB4	1wg6_A
Q91VJ1	2n00_A,4jbm_A,4jbm_B
Q920Q2	2lsg_A,2lsj_A,4fjo_A
Q9NRH2	5yks_A
Q9P086	7emf_K,7ena_k,7enj_K,7lbm_i,7nvr_c,8gxq_k,8gxs_k,7enc_k,8t9d_H
Q8K419	3i8t_A,2dyc_A
O75947	8h9n_M,8h9k_M,8h9s_M,8khf_M,8h9r_M,8h9u_M,8h9m_M,8h9j_M,8h9v_M,8h9f_M,8h9q_M,8h9g_M,8h9t_M,8ki3_M
O00303	8ppl_I4,3j8c_F,3j8b_F,8oz0_6,6zvj_F,6ybd_4,8pj1_4,7qp6_4,6zmw_4,7qp7_4,8pj2_4,8pj5_4,9bln_4,8rg0_4,8pj4_4,8xxn_3F,8pj3_4,8pj6_4,7a09_F,6zon_F,6zp4_F
P08185	2vdx_B,4bb2_A,2vdy_A,4c49_A,2vdy_B,2vdx_A,4c49_D,4c49_B,4c49_C,4c41_A,4bb2_B
Q9BPX6	6wdo_S,6le5_E,6le5_A,4nsc_E,6xqn_I,6k7y_I,6xjx_Q,4nsc_C,6le5_D,6xjv_S,6lb7_A,4nsc_B,6wdn_B
P54136	4q2t_A,4r3z_B,4zaj_A,4q2y_B,4q2x_A,4q2x_B,4q2t_B
Q86UY6	4u9w_C,4u9w_A,7kd7_D,7kpu_A,4u9w_D,4u9w_B,7kd7_A,7kpu_D,4u9v_B
Q99JY9	7aqk_a
Q9UK80	3i3t_E,3i3t_C,2y5b_E,3mtn_C
