PDBID	Resolution
3tub	2.23
3r1s	1.8
6id1	2.86
5cwz	2.9
7orh	1.8
7b34	2.1
5ra1	1.61
5fpi	2.77
4dgl	3.0
7org	1.8
7bea	2.45
7ux5	3.35
7l0f	1.98
5hkx	1.85
2iw6	2.3
1u3q	2.4
8ao4	1.825
1pxj	2.3
6f7b	2.0
1bkx	2.6
3vf6	1.86
7ra5	1.67
7jig	2.322
3qx2	1.75
3k5u	2.35
6xbz	2.8
3dab	1.9
5l8k	1.79
6eif	2.22
6ycw	1.34
1fvv	2.8
3fqe	2.5
5wfq	2.26
6qa3	1.57
1y8y	1.996
6zj0	1.763
2ghm	2.35
6qh7	3.4
3rhk	1.94
3rpy	1.9
6sd9	2.35
4wt6	2.3
8ern	1.64
5tq7	2.1
8dd4	3.1
7dhh	2.486
7kjn	2.8
5ap6	2.1
6id0	2.9
2of2	2.0
4bbz	2.7
1trn	2.2
7vpx	3.0
7qbr	2.13
1v11	1.95
4yju	1.67
7c3n	1.98
7qg3	2.11
5kcx	2.2
4jqi	2.6
5ij7	2.62
9epx	2.6
5kgg	1.95
4c3p	2.69
7opw	1.81
6c9g	2.7
6pl4	2.06
8fp0	1.6
5up3	2.95
1khx	1.8
8vjc	3.8
8qel	2.451
6hot	1.5
6jwa	1.781
3bik	2.65
5tco	2.1
6rl3	1.3
4id7	3.0
6kzi	2.8
6lk6	2.41
5fwk	3.9
4hvd	1.85
2clc	1.3
6d5j	1.751
5cs6	1.88
8w8e	3.9
3efj	2.6
6r3d	1.85
4rio	2.69
3tjc	2.4
1m52	2.6
2bdj	2.5
5n4y	2.56
8hmt	3.17
6pnx	2.199
8hk1	2.7
2mwy	No resolution data available
6hjk	2.4
3l8y	2.02
2o65	2.85
1z5m	2.17
5iso	2.63
5hvj	2.2
5dr2	2.46
1uu8	2.5
3qcx	2.3
8p5j	2.164
4o0u	2.6
6buu	2.4
2oid	2.3
8p71	2.0
6uc4	9.2
7jij	5.5
4u97	2.65
4fx3	2.75
2yly	3.2
4two	2.047
8v8h	3.58
3e5a	2.3
3oll	1.5
6tlc	2.9
8ez9	5.67
2npq	1.8
4j71	2.31
8xn6	2.4
1dm2	2.1
8vxd	2.47
3nsz	1.3
3hv3	2.0
6kzd	1.708
4c0o	2.557
7w7y	2.20003021871
8ovz	2.206
1x7z	1.72
6vn8	1.9
4lmu	2.38
3mh3	2.2
3huc	1.8
3vby	2.27
4fkl	1.26
5a3x	2.26
8pqd	1.5
5r9q	1.645
4f65	2.26
6rsu	2.75
8wal	8.52
8u7l	3.6
6vpl	1.86
4yth	2.04
3nw7	2.11
7cp3	2.9
4hvh	2.3
4qp7	2.249
4rxz	1.55
4s2z	1.48
7siu	1.786
4e8a	2.7
3gfe	2.1
6g9j	1.98
4wrs	2.2
2jfl	2.2
5o8v	2.0
2ow3	2.8
4qmo	1.898
5r9i	1.813
7xvz	2.08
4fku	1.47
4qp1	2.7
4qta	1.45
6ega	2.512
4eh8	2.2
5dr6	2.534
2v22	2.6
5ijs	2.2
6y8b	1.54
1fmk	1.5
5mqf	5.9
2vth	1.9
4jdi	1.85
6fu5	3.26
4efm	1.9
5lpx	1.9
8r0a	5.8
4mq2	2.8
2o63	2.0
2zej	2.0
1hck	1.9
3l8x	2.4
8w9a	2.7
7tuj	No resolution data available
4xoy	2.1
7zy2	1.51
7az2	1.081
3cu8	2.4
4iir	2.0
5fp6	1.85
8aom	2.202
2bff	1.46
6g2d	5.4
4yjs	2.22
5luq	4.3
4u17	1.99
6ate	2.402
6rpr	2.26
2rgb	1.35
2v7a	2.5
3dkc	1.52
3idb	1.62
1gux	1.85
7aj2	2.1
8oku	3.1
5os1	1.9
5nhv	2.0
6q7b	1.009
2pz5	2.4
5nka	1.377
3qd0	1.99
6zcx	1.66
6nfy	2.17
5n63	2.4
3ay9	1.75
5dos	2.98
1apm	2.0
1he8	3.0
4zsa	2.0
2uzl	2.4
8p07	2.4
3war	1.04
7pvr	1.65
6ohd	2.5
3qqk	1.86
6rx2	1.82
5aad	3.1
8dd8	3.4
5n4x	2.2
6hex	1.413
7xc1	2.09
6d5y	2.86
5kmo	2.67
6ep4	2.30005381157
8qqy	1.8
7a51	1.9
6kkt	2.9
4qmx	1.882
5ttv	1.93
6qty	1.65
2x81	2.91
7sxh	2.09
2lqn	No resolution data available
5vuc	2.0
3my5	2.1
6zh8	4.14
7dvq	2.89
4s31	1.45
6eqp	2.34941708483
7uyv	2.15
6b2e	3.8
7run	3.51
4jjb	1.65
7nr9	1.906
6l23	1.9744942746
5n5l	1.97
8p4e	3.9
4kip	2.27
4j9e	1.4
2xmc	2.4
1lf5	1.7
6npe	2.15
6y3r	1.5
3r1q	1.85
8be8	2.4
7oge	2.1
2j4z	2.0
4l45	2.9
4md9	3.5
4dlt	1.699
6hwu	2.3
5k75	2.03
5ot5	1.63
3mpa	2.1
4fz6	1.85
7biy	1.8
8cpd	3.46
8boh	1.42
7xzq	2.09
5oqu	2.324
7qhd	2.04
7nn2	1.8
6kkr	2.9
5o11	2.4
3rk9	1.85
7q1p	2.35
7abh	4.5
4eop	1.99
5ok9	2.35
4fif	2.6
6q21	1.95
7moa	4.9
2qld	2.7
5kvt	2.45
4pmt	2.1
3ols	2.2
6pdi	1.85
1mjs	1.91
5nqc	2.0
7pg4	9.1
1a36	2.8
4gfg	2.35
4xg3	2.3
5r9o	1.6
3qwk	1.85
4hvg	2.75
5w5j	2.85
