ACC_ID	PDBID	CHAINID	P_status
O00267	6ted	Z	P
O00267	7unc	Z	P
O00267	7und	Z	P
O00267	8uhd	Z	NP
O00267	8w8e	Z	NP
O00267	8p4e	Z	NP
O00267	8p4c	Z	NP
O00267	8p4f	Z	NP
O00267	7okx	Z	NP
O00267	8rbx	Z	NP
O00267	8p4d	Z	NP
O00267	8uhg	Z	NP
O00267	6gmh	Z	NP
O00267	7ol0	Z	NP
O00506	2xik	A	P
O00506	7z4v	A	P
O00506	4nzw	B	NP
O00763	3jrw	A	P
O00763	4hq6	A	P
O00763	2hjw	A	NP
O00763	3jrx	A	NP
O14920	4kik	A	P
O14920	4kik	B	P
O14920	4e3c	C	NP
O14920	8omv	B	NP
O14920	8omv	C	NP
O14920	4e3c	D	NP
O14920	4e3c	A	NP
O14920	8omv	A	NP
O14920	4e3c	B	NP
O14920	8omv	D	NP
O14920	4e3c	E	NP
O14920	4e3c	F	NP
O14939	6ohp	A	P
O14939	6ohp	B	P
O14939	6ohp	C	P
O14939	6ohp	D	P
O14939	6ohs	B	NP
O14939	6ohs	C	NP
O14939	6ohm	B	NP
O14939	6oho	A	NP
O14939	7svp	A	NP
O14939	7svp	C	NP
O14939	6ohq	B	NP
O14965	1ol5	A	P
O14965	1ol7	A	P
O14965	2w1c	A	P
O14965	2w1g	A	P
O14965	2wtv	A	P
O14965	2wtv	B	P
O14965	2wtv	C	P
O14965	2wtv	D	P
O14965	3e5a	A	P
O14965	3ha6	A	P
O14965	4bn1	A	P
O14965	4ceg	A	P
O14965	5dn3	A	P
O14965	5dnr	A	P
O14965	5dt3	A	P
O14965	5ew9	A	P
O14965	5g1x	A	P
O14965	5l8j	A	P
O14965	5l8k	A	P
O14965	5l8l	A	P
O14965	5lxm	A	P
O14965	5orl	A	P
O14965	5orn	A	P
O14965	5oro	A	P
O14965	5orp	A	P
O14965	5orr	A	P
O14965	5ors	A	P
O14965	5ort	A	P
O14965	5orv	A	P
O14965	5orw	A	P
O14965	5orx	A	P
O14965	5ory	A	P
O14965	5orz	A	P
O14965	5os0	A	P
O14965	5os1	A	P
O14965	5os3	A	P
O14965	5os4	A	P
O14965	5os5	A	P
O14965	5os6	A	P
O14965	5osd	A	P
O14965	5ose	A	P
O14965	5osf	A	P
O14965	6i2u	A	P
O14965	6r49	A	P
O14965	6r4a	A	P
O14965	6r4b	A	P
O14965	6r4c	A	P
O14965	6r4d	A	P
O14965	6vpg	A	P
O14965	6vph	A	P
O14965	6vpl	A	P
O14965	6vpl	B	P
O14965	6vpm	A	P
O14965	6vpm	B	P
O14965	7ztl	A	P
O14965	8c14	A	P
O14965	8c1e	A	P
O14965	8c1m	A	P
O14965	2w1d	A	NP
O14965	6cpg	D	NP
O14965	6hjk	A	NP
O14965	7o2v	A	NP
O14965	3h10	B	NP
O14965	7ayh	A	NP
O14965	2bmc	E	NP
O14965	4c3p	D	NP
O14965	2np8	A	NP
O14965	8jmx	A	NP
O14965	2xru	A	NP
O14965	3myg	A	NP
O14965	4dhf	B	NP
O14965	4ztq	A	NP
O14965	2bmc	B	NP
O14965	2x6d	A	NP
O14965	3m11	A	NP
O14965	5aae	A	NP
O14965	2wqe	A	NP
O14965	8c1k	A	NP
O14965	5obr	A	NP
O14965	4uzd	B	NP
O14965	8ssp	A	NP
O14965	2bmc	C	NP
O14965	3uoh	B	NP
O14965	8jg8	A	NP
O14965	8c1f	A	NP
O14965	8c1h	A	NP
O14965	4dhf	A	NP
O14965	3uok	B	NP
O14965	2bmc	F	NP
O14965	5dt0	A	NP
O14965	2j4z	B	NP
O14965	4byi	A	NP
O14965	2xng	A	NP
O14965	8sso	A	NP
O14965	6hjj	A	NP
O14965	8c15	A	NP
O14965	4j8m	A	NP
O14965	2w1f	A	NP
O14965	8of5	A	NP
O14965	6cpf	A	NP
O14965	3w18	B	NP
O14965	4dea	A	NP
O14965	2x81	A	NP
O14965	4jbo	A	NP
O14965	4uzh	A	NP
O14965	4zts	A	NP
O14965	3qbn	A	NP
O14965	7fic	A	NP
O14965	3uoj	A	NP
O14965	5obj	A	NP
O14965	4zs0	A	NP
O14965	5one	A	NP
O14965	3h0z	A	NP
O14965	3h0z	C	NP
O14965	5dr9	A	NP
O14965	8c1d	A	NP
O14965	3k5u	A	NP
O14965	3lau	A	NP
O14965	4ztr	A	NP
O14965	3uo5	A	NP
O14965	3r22	A	NP
O14965	2dwb	A	NP
O14965	3uoh	A	NP
O14965	2c6e	A	NP
O14965	5g15	A	NP
O14965	5dr6	A	NP
O14965	4deb	A	NP
O14965	3uok	A	NP
O14965	3w16	A	NP
O14965	5zan	A	NP
O14965	7ayi	A	NP
O14965	3h0z	B	NP
O14965	4o0w	A	NP
O14965	3w18	A	NP
O14965	3coh	B	NP
O14965	3o50	B	NP
O14965	5aaf	A	NP
O14965	2bmc	A	NP
O14965	5odt	A	NP
O14965	2bmc	D	NP
O14965	5aag	A	NP
O14965	3uo4	A	NP
O14965	3o51	A	NP
O14965	5dpv	A	NP
O14965	4j8n	A	NP
O14965	1muo	A	NP
O14965	3o50	A	NP
O14965	4jbp	A	NP
O14965	4byj	A	NP
O14965	4prj	A	NP
O14965	5dr2	A	NP
O14965	6c83	A	NP
O14965	3w2c	A	NP
O14965	2c6d	A	NP
O14965	6c83	B	NP
O14965	5dos	A	NP
O14965	6cpe	A	NP
O14965	2c6e	B	NP
O14965	8jf4	A	NP
O14965	2j50	B	NP
O14965	3uo6	A	NP
O14965	2xne	A	NP
O14965	2j50	A	NP
O14965	2wtw	A	NP
O14965	3efw	B	NP
O14965	3uod	A	NP
O14965	6c2t	A	NP
O14965	4b0g	A	NP
O14965	4j8n	B	NP
O14965	3unz	B	NP
O14965	4uyn	A	NP
O14965	3h0y	A	NP
O14965	1ol6	A	NP
O14965	1mq4	A	NP
O14965	4jaj	A	NP
O14965	5drd	A	NP
O14965	8c1i	A	NP
O14965	3nrm	A	NP
O14965	3efw	A	NP
